EPS (earnings per share), DPS (Dividend Per Share),NTA(Net Tangible Assets,Revenue,PL, Quarter, QDate,Year, Announced,ROE,QoQ%, YoY%,Report
21.45,0,7.6503,16.9b,2.6b,1,3/31/2025,"31 Dec, 2025",5/26/2025,2.80%,2.20%,4%,View
20.98,32,7.7874,16.7b,2.5b,4,12/31/2024,"31 Dec, 2024",2/26/2025,2.70%,0.20%,6.10%,View
21.04,0,7.5096,16.7b,2.5b,3,9/30/2024,"31 Dec, 2024",11/26/2024,2.80%,0.30%,7.60%,View
20.96,29,7.8842,17.2b,2.5b,2,6/30/2024,"31 Dec, 2024",8/28/2024,2.70%,1.70%,8.20%,View
20.63,0,7.7705,18.3b,2.5b,1,3/31/2024,"31 Dec, 2024",5/24/2024,2.70%,4.20%,9.80%,View
19.8,31,7.8474,17.1b,2.4b,4,12/31/2023,"31 Dec, 2023",2/28/2024,2.50%,1.30%,8.30%,View
19.56,0,7.5551,16.0b,2.4b,3,9/30/2023,"31 Dec, 2023",11/22/2023,2.60%,0.80%,12.30%,View
19.4,29,7.4875,16.1b,2.3b,2,6/30/2023,"31 Dec, 2023",8/30/2023,2.60%,3.20%,45.40%,View
18.79,0,7.1244,14.8b,2.3b,1,3/31/2023,"31 Dec, 2023",5/24/2023,2.60%,4.50%,10.70%,View
17.98,30,7.1309,14.5b,2.2b,4,12/31/2022,"31 Dec, 2022",2/27/2023,2.50%,0.10%,5.40%,View
18.22,0,7.0383,13.4b,2.2b,3,9/30/2022,"31 Dec, 2022",11/23/2022,2.60%,16.60%,28.50%,View
15.52,28,7.0759,11.2b,1.9b,2,6/30/2022,"31 Dec, 2022",8/25/2022,2.20%,9.20%,5.40%,View
17.22,0,7.0561,11.9b,2.0b,1,3/31/2022,"31 Dec, 2022",5/26/2022,2.40%,0.60%,14.50%,View
17.32,30,7.2241,11.3b,2.1b,4,12/31/2021,"31 Dec, 2021",2/24/2022,2.40%,22.10%,33.80%,View
14.41,0,7.1738,11.1b,1.7b,3,9/30/2021,"31 Dec, 2021",11/25/2021,2.00%,14.20%,13.70%,View
17.05,28,7.2016,11.3b,2.0b,2,6/30/2021,"31 Dec, 2021",8/26/2021,2.40%,18%,108.40%,View
20.96,0,7.3442,12.2b,2.4b,1,3/31/2021,"31 Dec, 2021",5/27/2021,2.90%,55.60%,16.70%,View
13.68,38.5,7.5112,12.2b,1.5b,4,12/31/2020,"31 Dec, 2020",2/25/2021,1.80%,21.30%,37.20%,View
17.37,13.5,7.4092,13.8b,2.0b,3,9/30/2020,"31 Dec, 2020",11/27/2020,2.30%,107.30%,2.30%,View
8.38,0,7.3019,11.8b,941.7m,2,6/30/2020,"31 Dec, 2020",8/27/2020,1.10%,54.10%,51.50%,View
18.23,0,6.9374,13.2b,2.0b,1,3/31/2020,"31 Dec, 2020",5/21/2020,2.60%,16.30%,13.30%,View
21.79,39,7.2563,13.0b,2.4b,4,12/31/2019,"31 Dec, 2019",2/27/2020,3.00%,22.50%,5.30%,View
17.78,0,7.0544,13.8b,2.0b,3,9/30/2019,"31 Dec, 2019",11/28/2019,2.50%,3%,2.10%,View
17.46,25,7.0664,13.1b,1.9b,2,6/30/2019,"31 Dec, 2019",8/29/2019,2.50%,7.30%,0.90%,View
16.37,0,7.0772,13.0b,1.8b,1,3/31/2019,"31 Dec, 2019",5/30/2019,2.30%,22.20%,3.30%,View
21.05,32,6.8174,12.2b,2.3b,4,12/31/2018,"31 Dec, 2018",2/26/2019,3.10%,18.90%,9.10%,View
17.91,0,6.658,12.1b,2.0b,3,9/30/2018,"31 Dec, 2018",11/29/2018,2.70%,0.10%,3.50%,View
17.94,25,6.5799,11.5b,2.0b,2,6/30/2018,"31 Dec, 2018",8/30/2018,2.70%,4.70%,18.10%,View
17.26,0,6.716,11.5b,1.9b,1,3/31/2018,"31 Dec, 2018",5/28/2018,2.60%,12.20%,9.90%,View
19.93,32,6.769,11.8b,2.1b,4,12/31/2017,"31 Dec, 2017",2/28/2018,2.90%,5.20%,9.70%,View
19.86,0,6.8048,11.6b,2.0b,3,9/30/2017,"31 Dec, 2017",11/30/2017,2.90%,22.20%,12.90%,View
16.06,23,6.7553,10.9b,1.7b,2,6/30/2017,"31 Dec, 2017",8/30/2017,2.40%,2.60%,43%,View
16.73,0,6.9225,11.3b,1.7b,1,3/31/2017,"31 Dec, 2017",5/25/2017,2.40%,27.90%,19.30%,View
23.19,32,6.7217,11.2b,2.4b,4,12/31/2016,"31 Dec, 2016",2/23/2017,3.50%,31.50%,42.90%,View
17.97,0,6.5654,11.3b,1.8b,3,9/30/2016,"31 Dec, 2016",11/24/2016,2.70%,54.80%,5.40%,View
11.79,20,6.3336,10.9b,1.2b,2,6/30/2016,"31 Dec, 2016",8/25/2016,1.90%,18.70%,26.80%,View
14.64,0,6.3596,11.2b,1.4b,1,3/31/2016,"31 Dec, 2016",5/27/2016,2.30%,13.60%,16.10%,View
17.08,30,6.3201,11.1b,1.7b,4,12/31/2015,"31 Dec, 2015",2/25/2016,2.70%,13%,14.50%,View
19.93,0,6.2556,11.4b,1.9b,3,9/30/2015,"31 Dec, 2015",11/26/2015,3.20%,19.80%,18.10%,View
16.76,24,5.9258,8.9b,1.6b,2,6/30/2015,"31 Dec, 2015",8/27/2015,2.80%,6.80%,0.60%,View
18.27,0,5.9682,9.2b,1.7b,1,3/31/2015,"31 Dec, 2015",5/28/2015,3.10%,12%,6.20%,View
20.75,33,5.6846,9.7b,1.9b,4,12/31/2014,"31 Dec, 2014",2/26/2015,3.70%,20.10%,11.50%,View
17.62,0,5.4651,8.9b,1.6b,3,9/30/2014,"31 Dec, 2014",11/26/2014,3.20%,2.10%,7.90%,View
17.47,24,5.3653,8.8b,1.6b,2,6/30/2014,"31 Dec, 2014",8/28/2014,3.30%,1.60%,0.50%,View
